date,apr_pct,tvl_usd
2024-04-13,505.95983,5484648
2024-04-14,362.17822,5719838
2024-04-15,265.38036,6367935
2024-04-16,301.23355,6882748
2024-04-17,215.08426,7704357
2024-04-18,217.78602,7899005
2024-04-19,241.99127,8604784
2024-04-20,130.1453,8410659
2024-04-21,131.25366,8554579
2024-04-22,128.51208,9079205
2024-04-23,111.54613,9202229
2024-04-24,153.59128,8660089
2024-04-25,210.5907,9808104
2024-04-26,171.0439,10109898
2024-04-29,144.04177,10663717
2024-04-30,244.4782,10639631
2024-05-01,236.87617,11159442
2024-05-02,158.15617,11386511
2024-05-03,138.28963,12143745
2024-05-04,89.4391,12683981
2024-05-05,96.51185,12527174
2024-05-06,126.71524,13315023
2024-05-07,132.31017,13436917
2024-05-08,137.98946,13399686
2024-05-09,93.0304,13788955
2024-05-10,106.94006,12534206
2024-05-11,53.99225,13113110
2024-05-12,48.12759,13148265
2024-05-13,112.78583,13246953
2024-05-14,98.27663,13097336
2024-05-15,94.72425,13774000
2024-05-16,77.64674,13564066
2024-05-17,89.28942,13401992
2024-05-18,46.6536,13410442
2024-05-19,51.20121,13301279
2024-05-20,178.85957,13246248
2024-05-21,177.09858,13221528
2024-05-22,152.46347,12611617
2024-05-23,260.5781,13694011
2024-05-24,118.03265,14159656
2024-05-25,49.30617,14157986
2024-05-26,61.33129,14717340
2024-05-27,85.06447,13957323
2024-05-28,88.87485,14426240
2024-05-29,88.50511,14084667
2024-05-30,86.12413,14612154
2024-05-31,67.08748,15078562
2024-06-01,30.38552,14928442
2024-06-02,39.2156,14835587
2024-06-03,75.68555,15055247
2024-06-04,68.48969,13539505
2024-06-05,59.31032,14163199
2024-06-06,56.07452,14350498
2024-06-07,86.44662,13973547
2024-06-08,29.49961,13436297
2024-06-09,24.64899,13579679
2024-06-10,42.72538,13549055
2024-06-11,101.34314,13684112
2024-06-12,104.56995,13637498
2024-06-13,94.24994,14150260
2024-06-14,92.42736,13632712
2024-06-15,47.34513,13678210
2024-06-16,36.45758,14345754
2024-06-17,94.08908,14258073
2024-06-18,129.85976,14828686
2024-06-19,78.93688,14783069
2024-06-20,84.35854,15324485
2024-06-21,87.59544,16768572
2024-06-22,18.86501,16985112
2024-06-23,26.3748,15917756
2024-06-24,123.58858,14649743
2024-06-25,61.73811,14812496
2024-06-26,48.16236,14989333
2024-06-27,44.55843,14085564
2024-06-28,56.44784,14216877
2024-06-29,15.73983,13761937
2024-06-30,27.53778,13938396
2024-07-01,45.77782,13705385
2024-07-02,30.70717,13436490
2024-07-03,60.45165,14005656
2024-07-04,105.9178,13451226
2024-07-05,181.45178,11812206
2024-07-06,45.22771,12113255
2024-07-07,49.40382,11622710
2024-07-08,140.26765,12966479
2024-07-09,91.38605,13311454
2024-07-10,77.17025,13243519
2024-07-11,80.58157,14097233
2024-07-12,69.71345,14423342
2024-07-13,25.72984,14812963
2024-07-14,40.01996,14370836
2024-07-15,87.6649,14996461
2024-07-16,100.63895,15534186
2024-07-17,83.17182,15436063
2024-07-18,67.96367,16058390
2024-07-19,83.84049,15887250
2024-07-20,47.7837,15838087
2024-07-21,61.67571,15151252
2024-07-22,67.22359,15290928
2024-07-23,126.51376,15277699
2024-07-24,78.82956,14434725
2024-07-25,128.65492,14484975
2024-07-26,55.60869,15309687
2024-07-27,68.20949,14865529
2024-07-28,39.08379,15114061
2024-07-29,74.89923,15216035
2024-07-30,69.81789,16446129
2024-07-31,79.78188,16343814
2024-08-01,89.59248,16135840
2024-08-02,118.82298,15791031
2024-08-03,68.18796,14391132
2024-08-04,83.84388,12698521
2024-08-05,290.85649,10780163
2024-08-06,114.57718,11417654
2024-08-07,125.16477,10628105
2024-08-08,105.44754,11471193
2024-08-09,83.4699,11815761
2024-08-10,40.20695,11784198
2024-08-11,67.33695,11488845
2024-08-12,116.52718,12620620
2024-08-13,83.50146,12941556
2024-08-14,90.5405,12914163
2024-08-15,77.6115,12389271
2024-08-16,73.41851,12913583
2024-08-17,22.43098,13091932
2024-08-18,36.18817,13322039
2024-08-19,60.96247,13001402
2024-08-20,62.37574,13537616
2024-08-21,65.27454,13784357
2024-08-22,40.71236,14205772
2024-08-23,74.30729,14453130
2024-08-24,43.00951,14371236
2024-08-25,28.34413,14502202
2024-08-26,54.02345,13985442
2024-08-27,91.19317,13289788
2024-08-28,77.04504,13785918
2024-08-29,56.16465,14277775
2024-08-30,70.80636,14317286
2024-08-31,16.21483,13855871
2024-09-01,47.22053,13652298
2024-09-02,49.59503,14871390
2024-09-03,38.06445,13973213
2024-09-04,62.83352,14100903
2024-09-05,53.1111,13759923
2024-09-06,101.10608,12430687
2024-09-07,27.08498,12712475
2024-09-08,29.36855,12638498
2024-09-09,54.43339,13882625
2024-09-10,47.60106,13962973
2024-09-11,71.38774,14199148
2024-09-12,44.10079,14424538
2024-09-13,41.8068,14979783
2024-09-14,17.02502,14594902
2024-09-15,22.86731,14241669
2024-09-16,58.16942,13776608
2024-11-22,93.47839,15489198
2024-11-23,83.24753,15495494
2024-11-24,65.04199,15280389
2024-11-25,72.0176,14812828
2024-11-26,138.59912,14863769
2024-11-27,102.51572,15405759
2024-11-28,112.44998,15495563
2024-11-29,72.36965,16648543
2024-11-30,76.86379,17073109
2024-12-01,66.3525,17392033
2024-12-02,116.0668,17982344
2024-12-03,92.9266,18391273
2024-12-04,123.8133,18672571
2024-12-05,147.21079,17935870
2024-12-06,92.56124,19623980
2024-12-07,37.18164,19452186
2024-12-08,31.98418,19904665
2024-12-09,64.60443,18877464
2024-12-10,151.84498,16522584
2024-12-11,77.26119,17643307
2024-12-12,101.00997,17873391
2024-12-13,71.79601,18051505
2024-12-14,48.83768,17508880
2024-12-15,44.29742,17600964
2024-12-16,95.02012,18048486
2024-12-17,88.1268,17147944
2024-12-18,132.29584,15893157
2024-12-19,167.21712,14893388
2024-12-20,158.88459,13740517
