timestamp,price,volume
1609459200,734.07,20479903.4760359
1609462800,748.28,38899618.8530135
1609466400,744.06,24606726.4383672
1609470000,744.82,13119088.4004137
1609473600,742.29,13980190.9714686
1609477200,740.65,11079350.2390266
1609480800,739.97,12658465.3899019
1609484400,737.38,15934710.9369215
1609488000,730.07,38713139.8352475
1609491600,733.68,16732025.0257024
1609495200,736.81,16854648.5651741
1609498800,738.85,21714429.1119129
1609502400,733.19,37052817.5043096
1609506000,740.08,17364322.3754941
1609509600,738,16337048.3578516
1609513200,735.39,18909549.3415675
1609516800,735.83,16368621.7550852
1609520400,727.94,29902944.3557101
1609524000,724.6,48068143.6005898
1609527600,725.34,19458522.3046609
1609531200,729.48,16308761.6073057
1609534800,728.23,10627095.6000123
1609538400,728.9,10652530.273984
1609542000,728.91,10249389.4576508
1609545600,719.9,33359504.1451891
1609549200,729.38,27507408.3916367
1609552800,729.44,16001652.5005198
1609556400,730.39,9595201.6296546
1609560000,729.45,9555414.0479076
1609563600,731.99,14151384.0382694
1609567200,737.04,30589103.9985002
1609570800,735.12,17572714.3654719
1609574400,733.84,23913429.6546692
1609578000,725.41,28452759.3525072
1609581600,728.47,25241215.6432782
1609585200,729.7,10224568.2344914
1609588800,752.38,99797231.548666
1609592400,770.77,117632404.8519244
1609596000,760.94,67209726.9032913
1609599600,768.43,39729575.5874643
1609603200,781.94,112613321.9972672
1609606800,778.84,58005209.2280071
1609610400,780.01,44964505.7396804
1609614000,784.79,44330259.1324243
1609617600,756.55,94377493.5497807
1609621200,768.95,53404322.1424283
1609624800,772.19,16662571.9063766
1609628400,774.56,29581204.0226811
1609632000,775.81,26814528.4883158
1609635600,776.97,21663976.812176
1609639200,778.94,18364302.7564584
1609642800,772.37,21882218.6129955
1609646400,777.41,26595385.984909
1609650000,786.42,64068296.001096
1609653600,799.96,71078337.1139985
1609657200,799.78,64321773.442542
1609660800,817.76,74374082.8159851
1609664400,818.45,77776377.3506155
1609668000,825.72,68179078.6074162
1609671600,829.76,53151864.3745482
1609675200,831.47,45899329.1004987
1609678800,874.21,156229065.8050751
1609682400,912.38,235467717.1680119
1609686000,917.72,180931169.1155773
1609689600,935.26,309149270.8003091
1609693200,935.54,205758533.1132997
1609696800,917.54,161117769.7514635
1609700400,921.53,78851087.4107424
1609704000,946.37,138197487.9737356
1609707600,949.77,56679305.9770959
1609711200,991.55,147796416.8041078
1609714800,978.28,218064484.3506365
1609718400,975.8,143669886.3154305
1609722000,966.96,76651917.3368378
1609725600,979.39,70632066.0624933
1609729200,1021.41,133249907.745048
1609732800,1027.69,127624075.5292287
1609736400,1084.18,235262238.022718
1609740000,1105,394081443.2542754
1609743600,1044.31,315934437.1139781
1609747200,1022.64,274810884.3023621
1609750800,970.08,372296551.6542519
1609754400,965.05,315129596.4528812
1609758000,976.8,182067885.3545649
1609761600,1019.48,234438840.4233063
1609765200,1011.92,193008617.9104973
1609768800,1043.25,201361352.8471544
1609772400,1040.01,197078078.1154901
1609776000,1010.15,246341557.4879602
1609779600,999.47,121210654.7796314
1609783200,1015.19,85843993.7100484
1609786800,1042.28,93429568.0979031
1609790400,1019.69,78269016.7989413
1609794000,1006.19,93386179.1967437
1609797600,1012.72,30560645.7315995
1609801200,1041.43,87294808.9762531
1609804800,1095.03,281827260.9569221
1609808400,1114.52,202007876.1421759
1609812000,1078.45,124657535.9055152
1609815600,1001.76,205092803.2682072
1609819200,1004.1,178163533.0298625
1609822800,989.83,158340392.4893953
1609826400,1015.15,129829692.1177999
1609830000,1003.45,61861123.0204618
1609833600,1026.97,108723594.4153279
1609837200,1035.85,95941020.1301314
1609840800,1028.31,69564322.0503208
1609844400,1042.21,60893371.0817369
1609848000,1028.99,74534502.6971818
1609851600,1023.55,55628499.3537635
1609855200,1047.9,117601274.9279434
1609858800,1052.82,89762300.2900891
1609862400,1065.84,125638275.660077
1609866000,1081.73,71375510.3678582
1609869600,1074,110582518.3027619
1609873200,1096.33,185241878.0775015
1609876800,1098.99,77860222.8629942
1609880400,1082.1,72868371.9428106
1609884000,1108.02,81892729.6940487
1609887600,1099.56,117161671.2232555
1609891200,1081.16,107553418.6498717
1609894800,1071.82,70150409.5544718
1609898400,1077.41,52814060.7002006
1609902000,1075.49,62695049.7239691
1609905600,1119.17,166305526.4609348
1609909200,1101.81,112942505.455483
1609912800,1113.22,76731915.7278859
1609916400,1106.59,85476951.384003
1609920000,1110.76,116653607.0682776
1609923600,1099.02,91674557.1990273
1609927200,1114.75,74300432.0769256
1609930800,1151.88,196558886.7199603
1609934400,1143.61,113705518.8175346
1609938000,1134.99,107168665.0304553
1609941600,1133.36,104228171.7621218
1609945200,1143.89,80346389.9799729
1609948800,1173.08,217234956.4796931
1609952400,1192.25,161966601.3043582
1609956000,1191.78,101534688.5019965
1609959600,1160.78,129038897.5862938
1609963200,1197.16,241927315.1812647
1609966800,1181.26,137443178.3903897
1609970400,1177.97,36181615.1388273
1609974000,1208.42,80628802.3945945
1609977600,1199.8,115233154.0296086
1609981200,1200.12,64402023.4565636
1609984800,1196.53,66910493.7349194
1609988400,1213.17,86716810.6959711
1609992000,1210.42,67485345.7719442
1609995600,1207.27,64730906.1152127
1609999200,1198.71,73472347.3480934
1610002800,1186.21,63194683.2211213
1610006400,1195.77,104598930.7265947
1610010000,1204.96,58082885.9020251
1610013600,1183.51,57025761.8807025
1610017200,1201.12,64573030.008749
1610020800,1227.2,113110658.4022097
1610024400,1218.01,103265173.9502571
1610028000,1224.5,75520023.9248939
1610031600,1249.83,100334324.8227427
1610035200,1263.97,189429718.5162389
1610038800,1270.49,81868620.207566
1610042400,1222.73,314931094.5802767
1610046000,1234.14,213508997.9775383
1610049600,1242.72,80830321.2395162
1610053200,1254.18,89797360.8258602
1610056800,1245.47,38386892.0764667
1610060400,1224.87,118810331.9534623
1610064000,1182.96,88124665.5370358
1610067600,1184.52,113279104.6035772
1610071200,1111.34,222441857.6795421
1610074800,1150.1,101365259.9665088
1610078400,1169.03,90851598.4442795
1610082000,1148.12,79666747.7708721
1610085600,1175.21,105411233.2175017
1610089200,1208.42,94621691.7306642
1610092800,1199.99,67043689.3105699
1610096400,1221.64,74943929.0192567
1610100000,1251.31,167801701.0989688
1610103600,1255.43,109542145.7565418
1610107200,1249.9,122707021.7554899
1610110800,1250,89202675.1013631
1610114400,1257,62071302.3493487
1610118000,1216.77,234901082.266039
1610121600,1227.22,102893873.3846685
1610125200,1215.42,61792247.350253
1610128800,1182.87,118959720.3609653
1610132400,1184.75,63726005.4926391
1610136000,1145.9,163528253.3723028
1610139600,1193.63,94279864.9373416
1610143200,1216.58,59912325.745168
1610146800,1216.93,54359456.3292279
1610150400,1197.93,96646574.7489301
1610154000,1198.27,76606854.3145265
1610157600,1199.84,62971828.7795576
1610161200,1226.53,71769159.6366053
1610164800,1219.16,47664588.7042388
1610168400,1185.53,64715432.9209386
1610172000,1179.8,68129964.8532314
1610175600,1196.49,52962586.8939107
1610179200,1208.01,54320689.0874708
1610182800,1211.55,64456601.2212349
1610186400,1218.58,63830003.1956291
1610190000,1220.64,80546909.2989085
1610193600,1223.99,46354278.5906163
1610197200,1221.39,46405243.9744776
1610200800,1223.17,67379571.1707613
1610204400,1219.95,62666843.9421447
1610208000,1200.88,86306314.1251636
1610211600,1222.52,60050591.6856529
1610215200,1224.69,45432563.6319081
1610218800,1229.42,44291180.4241452
1610222400,1271.14,146497155.3026514
1610226000,1287.96,178504996.0413342
1610229600,1286.61,108919865.4127336
1610233200,1276,82707578.4596983
1610236800,1289.91,82909363.7411552
1610240400,1323.44,140701441.5254726
1610244000,1338,90013668.6259618
1610247600,1310.97,104463628.9066017
1610251200,1318.46,55954917.4244947
1610254800,1315.54,58940944.7135094
1610258400,1324.35,53406654.0181196
1610262000,1344.7,76737940.0027752
1610265600,1328.81,85214435.7215544
1610269200,1331.63,52875202.6395652
1610272800,1318.43,128046767.8242801
1610276400,1259.28,179316526.2011879
1610280000,1290.33,142433074.4454958
1610283600,1309.66,103194706.3489623
1610287200,1295.68,80517549.2493227
1610290800,1303.18,72415006.0293881
1610294400,1297.39,87880831.0444039
1610298000,1300.65,199361899.2783166
1610301600,1283.68,112150360.9074074
1610305200,1263.17,67942909.9420436
1610308800,1258.34,295371615.2807519
1610312400,1270.6,122535363.2860081
1610316000,1273.08,60177662.4523001
1610319600,1254.25,65229382.7986838
1610323200,1218.8,126337282.4486268
1610326800,1208.03,99354383.786338
1610330400,1186.11,136749098.2765317
1610334000,1104.14,366416135.6347431
1610337600,1114.1,229057846.4283351
1610341200,1094.18,136593721.1149744
1610344800,1027.73,229671829.1230839
1610348400,1071.84,180485663.3913969
1610352000,1108.69,183120608.8276889
1610355600,1135.07,107636433.0503919
1610359200,1112.08,137494875.4992828
1610362800,1067.87,161382390.056179
1610366400,1073.66,186007564.1463386
1610370000,1026.09,192053606.3159422
1610373600,1038.53,321161676.0940717
1610377200,977.21,195987295.7110759
1610380800,963.55,294019408.8298618
1610384400,998.3,266335734.6469515
1610388000,993.51,136383174.0963222
1610391600,984.41,161240461.2635591
1610395200,1019.94,134845936.7891368
1610398800,1031.55,138713861.4271016
1610402400,1057.87,87394985.9136925
1610406000,1087.01,115120535.8280109
1610409600,1061.88,136065283.3776862
1610413200,1055.12,81795887.4653919
1610416800,1069.27,78519632.2024141
1610420400,1088.52,65664316.3250986
1610424000,1095.87,82464315.4926201
1610427600,1129.61,95449761.9336933
1610431200,1137.94,119276118.0147031
1610434800,1139.05,108748144.1923602
1610438400,1116.8,116299171.5425348
1610442000,1114.94,84188473.2683748
1610445600,1084.5,173072519.4872927
1610449200,1099.16,100370140.2885045
1610452800,1086.87,92206470.1040226
1610456400,1025.71,212393729.836159
1610460000,1035.91,194411025.6408102
1610463600,1053.34,106477841.4865617
1610467200,1106.77,120842587.7440585
1610470800,1117.67,107941481.0406889
1610474400,1104.33,74563674.8858316
1610478000,1082.76,79879896.8877593
1610481600,1080.61,70002101.4402032
1610485200,1078.07,55374207.1585631
1610488800,1052.49,44224854.0587819
1610492400,1050.16,90835458.6360129
1610496000,991.32,158396601.354145
1610499600,1031.12,97036234.3754792
1610503200,1030.83,76717674.0689789
1610506800,1046.72,79812554.0900619
1610510400,1023.68,57672481.3455875
1610514000,1036.24,52950322.4069891
1610517600,1044.37,52536903.9193267
1610521200,1076.35,75691505.0976063
1610524800,1059.75,65621663.5623765
1610528400,1060.2,59047613.5635435
1610532000,1079.61,91947903.6727922
